example_id                                          | status | run_time        |
./spec/sequel/privacy/enforcer_spec.rb[1:1:3:4:5]   | passed | 0.00018 seconds |
./spec/sequel/privacy/enforcer_spec.rb[1:1:4:1]     | passed | 0.00008 seconds |
./spec/sequel/privacy/enforcer_spec.rb[1:1:4:2]     | passed | 0.00009 seconds |
./spec/sequel/privacy/enforcer_spec.rb[1:1:4:3]     | passed | 0.00009 seconds |
./spec/sequel/privacy/enforcer_spec.rb[1:1:4:4:1]   | passed | 0.00009 seconds |
./spec/sequel/privacy/enforcer_spec.rb[1:1:4:4:2]   | passed | 0.00011 seconds |
./spec/sequel/privacy/enforcer_spec.rb[1:1:4:4:3]   | passed | 0.00009 seconds |
./spec/sequel/privacy/enforcer_spec.rb[1:1:4:4:4]   | passed | 0.00011 seconds |
./spec/sequel/privacy/enforcer_spec.rb[1:1:4:4:5]   | passed | 0.00005 seconds |
./spec/sequel/privacy/enforcer_spec.rb[1:1:5:1]     | passed | 0.00025 seconds |
./spec/sequel/privacy/enforcer_spec.rb[1:1:6:1]     | passed | 0.00008 seconds |
./spec/sequel/privacy/enforcer_spec.rb[1:1:7:1]     | passed | 0.00009 seconds |
./spec/sequel/privacy/enforcer_spec.rb[1:1:7:2]     | passed | 0.00009 seconds |
./spec/sequel/privacy/enforcer_spec.rb[1:1:7:3]     | passed | 0.0001 seconds  |
./spec/sequel/privacy/enforcer_spec.rb[1:1:7:4]     | passed | 0.00018 seconds |
./spec/sequel/privacy/policy_dsl_spec.rb[1:1:1]     | passed | 0.00003 seconds |
./spec/sequel/privacy/policy_dsl_spec.rb[1:1:2]     | passed | 0.00003 seconds |
./spec/sequel/privacy/policy_dsl_spec.rb[1:1:3]     | passed | 0.00003 seconds |
./spec/sequel/privacy/policy_dsl_spec.rb[1:1:4]     | passed | 0.00003 seconds |
./spec/sequel/privacy/policy_dsl_spec.rb[1:1:5]     | passed | 0.00003 seconds |
./spec/sequel/privacy/policy_dsl_spec.rb[1:1:6]     | passed | 0.00008 seconds |
./spec/sequel/privacy/policy_dsl_spec.rb[1:1:7]     | passed | 0.00004 seconds |
./spec/sequel/privacy/policy_dsl_spec.rb[1:1:8]     | passed | 0.00003 seconds |
./spec/sequel/privacy/policy_dsl_spec.rb[1:1:9]     | passed | 0.00045 seconds |
./spec/sequel/privacy/policy_dsl_spec.rb[1:1:10]    | passed | 0.00004 seconds |
./spec/sequel/privacy/policy_spec.rb[1:1:1]         | passed | 0.00005 seconds |
./spec/sequel/privacy/policy_spec.rb[1:1:2]         | passed | 0.00007 seconds |
./spec/sequel/privacy/policy_spec.rb[1:1:3]         | passed | 0.00005 seconds |
./spec/sequel/privacy/policy_spec.rb[1:1:4]         | passed | 0.00003 seconds |
./spec/sequel/privacy/policy_spec.rb[1:1:5]         | passed | 0.00003 seconds |
./spec/sequel/privacy/policy_spec.rb[1:1:6]         | passed | 0.00036 seconds |
./spec/sequel/privacy/policy_spec.rb[1:2:1]         | passed | 0.00004 seconds |
./spec/sequel/privacy/policy_spec.rb[1:2:2]         | passed | 0.00005 seconds |
./spec/sequel/privacy/policy_spec.rb[1:2:3]         | passed | 0.00003 seconds |
./spec/sequel/privacy/policy_spec.rb[1:3:1]         | passed | 0.00002 seconds |
./spec/sequel/privacy/policy_spec.rb[1:3:2]         | passed | 0.00002 seconds |
./spec/sequel/privacy/policy_spec.rb[1:3:3]         | passed | 0.00002 seconds |
./spec/sequel/privacy/policy_spec.rb[1:3:4]         | passed | 0.00003 seconds |
./spec/sequel/privacy/viewer_context_spec.rb[1:1:1] | passed | 0.00073 seconds |
./spec/sequel/privacy/viewer_context_spec.rb[1:1:2] | passed | 0.00053 seconds |
./spec/sequel/privacy/viewer_context_spec.rb[1:2:1] | passed | 0.00007 seconds |
./spec/sequel/privacy/viewer_context_spec.rb[1:2:2] | passed | 0.00003 seconds |
./spec/sequel/privacy/viewer_context_spec.rb[1:3:1] | passed | 0.00008 seconds |
./spec/sequel/privacy/viewer_context_spec.rb[1:3:2] | passed | 0.00006 seconds |
./spec/sequel/privacy/viewer_context_spec.rb[1:3:3] | passed | 0.00441 seconds |
./spec/sequel/privacy/viewer_context_spec.rb[1:3:4] | passed | 0.00075 seconds |
./spec/sequel/privacy/viewer_context_spec.rb[2:1]   | passed | 0.00003 seconds |
./spec/sequel/privacy/viewer_context_spec.rb[2:2]   | passed | 0.00004 seconds |
./spec/sequel/privacy/viewer_context_spec.rb[3:1]   | passed | 0.00005 seconds |
./spec/sequel/privacy/viewer_context_spec.rb[3:2]   | passed | 0.00011 seconds |
./spec/sequel/privacy/viewer_context_spec.rb[3:3]   | passed | 0.00003 seconds |
./spec/sequel/privacy/viewer_context_spec.rb[3:4]   | passed | 0.00075 seconds |
